Start time,End time,Time Difference,work_duration
2024-11-27 18:26:00.000000,2024-11-27 18:45:00.000000,00:19:00,0.3166666666666666
2024-11-27 18:06:59.000000,2024-11-27 18:07:07.000000,00:00:08,0.0022222222222222
2024-11-27 17:15:48.000000,2024-11-27 17:18:11.000000,00:02:23,0.0397222222222222
2024-11-27 16:55:01.000000,2024-11-27 16:55:20.000000,00:00:19,0.0052777777777777
2024-11-27 16:49:41.000000,2024-11-27 16:52:31.000000,00:02:50,0.0472222222222222
2024-11-27 19:12:17.976217,2024-11-27 20:12:17.977218,01:00:00,
